,RegionName,FuelType,FuelCostTotal,PLCO2RTA,ORISCode,DIVISIONCE,UNITID,Capacity,OBJECTID,UniqueID,StateName,CountyName,CountyCode,HeatRate,PlantType,FossilUnit,NERC,SUBRGN,FIPSCNTY,LAT,LON,PLNOXRTA,PLSO2RTA,PLN2ORTA,PLCH4RTA,PRMVR,FUELU1,pm.mmbtu,pm.mwh,generationCO2,g
0,ERC_FRNT,NaturalGas,19.686689059561125,395.81987042000003,55062,WSC-TX,GTG1,155.0,12038.0,55062_G_GTG1,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.1315411,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.023935091,892.0,3959.0
1,ERC_FRNT,NaturalGas,19.686689059561125,395.81987042000003,55062,WSC-TX,GTG2,155.0,12037.0,55062_G_GTG2,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.1315411,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.023935091,892.0,3959.0
2,ERC_FRNT,NaturalGas,19.686689059561125,395.81987042000003,55062,WSC-TX,GTG3,155.0,12040.0,55062_G_GTG3,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.1315411,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.023935091,892.0,3959.0
3,ERC_FRNT,NaturalGas,19.686689059561125,395.81987042000003,55062,WSC-TX,STG1,395.0,12039.0,55062_G_STG1,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.1315411,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.023935091,892.0,3959.0
4,ERC_GWAY,NaturalGas,20.737758051724132,397.92679597,55132,WSC-TX,GTG1,152.0,12185.0,55132_G_GTG1,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.10886159999999999,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.025212982,870.0,4011.0
5,ERC_GWAY,NaturalGas,20.737758051724132,397.92679597,55132,WSC-TX,GTG2,147.0,12184.0,55132_G_GTG2,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.10886159999999999,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.025212982,870.0,4011.0
6,ERC_GWAY,NaturalGas,20.737758051724132,397.92679597,55132,WSC-TX,GTG3,149.0,12183.0,55132_G_GTG3,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.10886159999999999,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.025212982,870.0,4011.0
7,ERC_GWAY,NaturalGas,20.737758051724132,397.92679597,55132,WSC-TX,STG1,397.0,12182.0,55132_G_STG1,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.10886159999999999,0.00181436,0.00090718,0.00725744,CC,NG,3.38e-06,0.025212982,870.0,4011.0
8,ERC_REST,Biomass,31.6,0.0,55708,WSC-TX,BLR1,100.0,16905.0,55708_B_BLR1,Texas,Nacogdoches,347,13500,Biomass,Non-Fossil,TRE,ERCT,347,31.832132,-94.90064,0.56834827,0.004989489999999999,0.06939927,0.52707158,ST,OBS,0.0,0.0,463.1851852,4273.0
9,ERC_REST,Biomass,39.6,,56931,WSC-TX,BoilA,50.0,16925.0,56931_B_BoilA,Texas,Angelina,5,16943,Biomass,Non-Fossil,TRE,ERCT,5,31.365833,-94.743611,,,,,ST,WDS,0.0001951,3.305576225,79.5,4691.0
10,ERC_REST,Biomass,40.4,17.333941850000002,54338,WSC-TX,GEND,12.0,16883.0,54338_G_GEND,Texas,Hidalgo,215,17283,Biomass,Non-Fossil,TRE,ERCT,215,26.269683,-97.867012,0.49441310000000005,0.06622414,0.02404027,0.18234318000000002,ST,OBS,0.0,0.0,42.0,3801.0
11,ERC_REST,Coal,23.273160666666662,1135.16567375,6181,WSC-TX,2,436.0,3370.0,6181_B_2,Texas,Bexar,29,10104,Coal Steam,Fossil,TRE,ERCT,29,29.308056,-98.3228,0.47853745,2.84945238,0.01769001,0.12292289,ST,SUB,2.08e-05,0.210117967,2285.0,2622.0
12,ERC_REST,Coal,16.604289361702122,971.03095712,56611,WSC-TX,S01,936.0,14192.0,56611_B_S01,Texas,McLennan,309,8800,Coal Steam,Fossil,TRE,ERCT,309,31.474378,-96.957149,0.2041155,0.40142715,0.014968470000000001,0.10251134,ST,SUB,2.08e-05,0.183000605,2187.0,4624.0
