RegionName,FuelType,FuelCostTotal,PLCO2RTA,ORISCode,DIVISIONCE,UNITID,Capacity,OBJECTID,UniqueID,StateName,CountyName,CountyCode,HeatRate,PlantType,FossilUnit,NERC,SUBRGN,FIPSCNTY,LAT,LON,PLNOXRTA,PLSO2RTA,PLN2ORTA,PLCH4RTA,PRMVR,FUELU1,pm.mmbtu,pm.mwh,generationCO2,g
ERC_FRNT,NaturalGas,19.44062807,892,55062,WSC-TX,GTG1,155,12038,55062_G_GTG1,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.137,0.002,1.45846,14.584596,CC,NG,3.38E-06,0.023935091,892,3959
ERC_FRNT,NaturalGas,19.44062807,892,55062,WSC-TX,GTG2,155,12037,55062_G_GTG2,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.137,0.002,1.45846,14.584596,CC,NG,3.38E-06,0.023935091,892,3959
ERC_FRNT,NaturalGas,19.44062807,892,55062,WSC-TX,GTG3,155,12040,55062_G_GTG3,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.137,0.002,1.45846,14.584596,CC,NG,3.38E-06,0.023935091,892,3959
ERC_FRNT,NaturalGas,19.44062807,892,55062,WSC-TX,STG1,395,12039,55062_G_STG1,Texas,Grimes,185,7080,Combined Cycle,Fossil,SERC,ERCT,185,30.5924,-95.9178,0.137,0.002,1.45846,14.584596,CC,NG,3.38E-06,0.023935091,892,3959
ERC_GWAY,NaturalGas,19.44062807,870,55132,WSC-TX,GTG1,152,12185,55132_G_GTG1,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.105,0.002,1.475668,14.756682,CC,NG,3.38E-06,0.025212982,870,4011
ERC_GWAY,NaturalGas,19.44062807,870,55132,WSC-TX,GTG2,147,12184,55132_G_GTG2,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.105,0.002,1.475668,14.756682,CC,NG,3.38E-06,0.025212982,870,4011
ERC_GWAY,NaturalGas,19.44062807,870,55132,WSC-TX,GTG3,149,12183,55132_G_GTG3,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.105,0.002,1.475668,14.756682,CC,NG,3.38E-06,0.025212982,870,4011
ERC_GWAY,NaturalGas,19.44062807,870,55132,WSC-TX,STG1,397,12182,55132_G_STG1,Texas,Rusk,401,7458,Combined Cycle,Fossil,TRE,ERCT,401,32.017826,-94.619743,0.105,0.002,1.475668,14.756682,CC,NG,3.38E-06,0.025212982,870,4011
ERC_REST,Biomass,31.6,463.1851852,55708,WSC-TX,BLR1,100,16905,55708_B_BLR1,Texas,Nacogdoches,347,13500,Biomass,Non-Fossil,TRE,ERCT,347,31.832132,-94.90064,0.57,0.029,130.359198,993.212941,ST,OBS,0,0,463.1851852,4273
ERC_REST,Biomass,39.6,79.5,56931,WSC-TX,BoilA,50,16925,56931_B_BoilA,Texas,Angelina,5,16943,Biomass,Non-Fossil,TRE,ERCT,5,31.365833,-94.743611,0.796583333,0.15,110.77107,843.970054,ST,WDS,0.0001951,3.305576225,79.5,4691
ERC_REST,Biomass,40.4,42,54338,WSC-TX,GEND,12,16883,54338_G_GEND,Texas,Hidalgo,215,17283,Biomass,Non-Fossil,TRE,ERCT,215,26.269683,-97.867012,0.48,0.065,47.717651,363.703019,ST,OBS,0,0,42,3801
ERC_REST,Coal,9.135,2285,6181,WSC-TX,2,436,3370,6181_B_2,Texas,Bexar,29,10104,Coal Steam,Fossil,TRE,ERCT,29,29.308056,-98.3228,0.355,2.533,32.72911,225.017646,ST,SUB,2.08E-05,0.210117967,2285,2622
ERC_REST,Coal,21.21,2187,56611,WSC-TX,S01,936,14192,56611_B_S01,Texas,McLennan,309,8800,Coal Steam,Fossil,TRE,ERCT,309,31.474378,-96.957149,0.222,0.371,29.483044,202.695928,ST,SUB,2.08E-05,0.183000605,2187,4624
ERC_REST,Coal,22.785,2142,7097,WSC-TX,BLR2,775,14090,7097_B_BLR2,Texas,Bexar,29,9443,Coal Steam,Fossil,TRE,ERCT,29,29.309722,-98.3203,0.415,0.121,30.8467,212.077028,ST,BIT,1.66E-05,0.157097701,2142,2768
ERC_REST,Coal,24.045,2142,7097,WSC-TX,BLR1,555,14089,7097_B_BLR1,Texas,Bexar,29,9948,Coal Steam,Fossil,TRE,ERCT,29,29.309722,-98.3203,0.415,0.121,30.8467,212.077028,ST,BIT,1.66E-05,0.165499093,2142,2769
ERC_REST,Coal,24.15,2140,6136,WSC-TX,1,466,14025,6136_B_1,Texas,Grimes,185,9992,Coal Steam,Fossil,TRE,ERCT,185,30.619937,-96.081846,0.666,0.231,31.943406,219.619915,ST,SUB,2.08E-05,0.207788869,2140,2589
ERC_REST,Coal,24.57,2339,6179,WSC-TX,1,597,14046,6179_B_1,Texas,Fayette,149,10166,Coal Steam,Fossil,TRE,ERCT,149,29.9172,-96.7506,0.515,0.078,34.251678,235.452897,ST,SUB,2.08E-05,0.21140729,2339,2618
ERC_REST,Coal,24.57,2339,6179,WSC-TX,2,597,14047,6179_B_2,Texas,Fayette,149,10171,Coal Steam,Fossil,TRE,ERCT,149,29.9172,-96.7506,0.515,0.078,34.251678,235.452897,ST,SUB,2.08E-05,0.211511267,2339,2618
ERC_REST,Coal,24.57,2649,6183,WSC-TX,SM-1,391,3372,6183_B_SM-1,Texas,Atascosa,13,11913,Coal Steam,Fossil,TRE,ERCT,13,28.7044,-98.4775,0.981,2.865,36.833641,253.203172,ST,LIG,4.86E-05,0.579245891,2649,2624
ERC_REST,Coal,24.78,2031,6178,WSC-TX,1,590,14044,6178_B_1,Texas,Goliad,175,10255,Coal Steam,Fossil,TRE,ERCT,175,28.7128,-97.214167,0.574,2.971,31.250296,214.83383,ST,SUB,2.08E-05,0.213258091,2031,2617
ERC_REST,Coal,24.99,2120,298,WSC-TX,LIM1,830,13714,298_B_LIM1,Texas,Limestone,293,10366,Coal Steam,Fossil,TRE,ERCT,293,31.4219,-96.2525,0.924,2.111,33.200596,228.263003,ST,LIG,4.86E-05,0.504026098,2120,151
ERC_REST,Coal,24.99,2120,298,WSC-TX,LIM2,857,13713,298_B_LIM2,Texas,Limestone,293,10354,Coal Steam,Fossil,TRE,ERCT,293,31.4219,-96.2525,0.924,2.111,33.200596,228.263003,ST,LIG,4.86E-05,0.503442622,2120,151
ERC_REST,Coal,24.99,2339,6179,WSC-TX,3,444,14045,6179_B_3,Texas,Fayette,149,10344,Coal Steam,Fossil,TRE,ERCT,149,29.9172,-96.7506,0.515,0.078,34.251678,235.452897,ST,SUB,2.08E-05,0.215108893,2339,2619
ERC_REST,Coal,25.095,2188,3470,WSC-TX,WAP7,575,13935,3470_B_WAP7,Texas,Fort Bend,157,10407,Coal Steam,Fossil,TRE,ERCT,157,29.475278,-95.634167,0.269,2.474,0.00201,0.020097,ST,SUB,2.08E-05,0.216419011,2188,2190
ERC_REST,Coal,25.2,2188,3470,WSC-TX,WAP6,650,13932,3470_B_WAP6,Texas,Fort Bend,157,10432,Coal Steam,Fossil,TRE,ERCT,157,29.475278,-95.634167,0.269,2.474,0.00201,0.020097,ST,SUB,2.08E-05,0.216938899,2188,2191
ERC_REST,Coal,25.2,2188,3470,WSC-TX,WAP8,610,13934,3470_B_WAP8,Texas,Fort Bend,157,10448,Coal Steam,Fossil,TRE,ERCT,157,29.475278,-95.634167,0.269,2.474,0.00201,0.020097,ST,SUB,2.08E-05,0.217271627,2188,2191
ERC_REST,Coal,25.305,2184,6180,WSC-TX,1,820,14048,6180_B_1,Texas,Robertson,395,10475,Coal Steam,Fossil,TRE,SRMV,395,31.1803,-96.4866,0.333,0.52,32.052699,220.386593,ST,LIG,4.86E-05,0.509326006,2184,2620
ERC_REST,Coal,25.305,2188,3470,WSC-TX,WAP5,666,13933,3470_B_WAP5,Texas,Fort Bend,157,10458,Coal Steam,Fossil,TRE,ERCT,157,29.475278,-95.634167,0.269,2.474,0.00201,0.020097,ST,SUB,2.08E-05,0.217479583,2188,2192
ERC_REST,Coal,26.355,2184,6180,WSC-TX,2,827,14049,6180_B_2,Texas,Robertson,395,10896,Coal Steam,Fossil,TRE,SRMV,395,31.1803,-96.4866,0.333,0.52,32.052699,220.386593,ST,LIG,4.86E-05,0.529796292,2184,2621
ERC_REST,Coal,26.46,2300,3497,WSC-TX,1,592,13937,3497_B_1,Texas,Freestone,161,10963,Coal Steam,Fossil,TRE,ERCT,161,31.8206,-96.0544,0.634,7.182,35.898949,246.818913,ST,SUB,2.08E-05,0.227981322,2300,2224
ERC_REST,Coal,26.46,2300,3497,WSC-TX,2,587,13936,3497_B_2,Texas,Freestone,161,10977,Coal Steam,Fossil,TRE,ERCT,161,31.8206,-96.0544,0.634,7.182,35.898949,246.818913,ST,SUB,2.08E-05,0.228272459,2300,2224
ERC_REST,Coal,26.775,2388,6146,WSC-TX,1,805,14030,6146_B_1,Texas,Rusk,401,11102,Coal Steam,Fossil,TRE,SPSO,401,32.2606,-94.5706,0.784,3.579,35.877657,246.630619,ST,LIG,4.86E-05,0.539812632,2388,2598
ERC_REST,Coal,26.775,2388,6146,WSC-TX,2,810,14031,6146_B_2,Texas,Rusk,401,11102,Coal Steam,Fossil,TRE,SPSO,401,32.2606,-94.5706,0.784,3.579,35.877657,246.630619,ST,LIG,4.86E-05,0.539812632,2388,2598
ERC_REST,Coal,26.775,2388,6146,WSC-TX,3,810,14029,6146_B_3,Texas,Rusk,401,11074,Coal Steam,Fossil,TRE,SPSO,401,32.2606,-94.5706,0.784,3.579,35.877657,246.630619,ST,LIG,4.86E-05,0.538451188,2388,2598
ERC_REST,Coal,27.405,2535,7030,WSC-TX,U2,153,14088,7030_B_U2,Texas,Robertson,395,11352,Coal Steam,Fossil,TRE,ERCT,395,31.091925,-96.69503,0.81,2.256,36.353245,249.944032,ST,LIG,4.86E-05,0.551968384,2535,2754
ERC_REST,Coal,27.51,2404,6147,WSC-TX,3,760,14032,6147_B_3,Texas,Titus,449,11398,Coal Steam,Fossil,TRE,SPSO,449,33.0917,-95.0417,0.708,2.836,35.993745,247.390599,ST,SUB,2.08E-05,0.237027374,2404,2599
ERC_REST,Coal,27.51,2535,7030,WSC-TX,U1,152,14087,7030_B_U1,Texas,Robertson,395,11391,Coal Steam,Fossil,TRE,ERCT,395,31.091925,-96.69503,0.81,2.256,36.353245,249.944032,ST,LIG,4.86E-05,0.553864681,2535,2755
ERC_REST,Coal,27.615,2131,52071,WSC-TX,5A,285,14157,52071_B_5A,Texas,Milam,331,11429,Coal Steam,Fossil,TRE,ERCT,331,30.5681,-97.0614,0.302,0.489,34.539306,237.417048,ST,LIG,4.86E-05,0.555712355,2131,3727
