,r1,r2,transCap,transCost,transCapa
0,CN_ON,ERC_REST,1,0.01,
1,CN_ON,NY_Z_CE,1,0.01,
2,CN_ON,PJM_EMAC,1,0.01,
3,CN_ON,S_C_TVA,1,0.01,
4,CN_ON,S_SOU,1,0.01,
5,CN_ON,S_VACA,1,0.01,
6,CN_ON,WEC_CALN,1,0.01,
7,CN_ON,CN_AB,1,0.01,
8,CN_ON,CN_BC,1,0.01,
9,CN_ON,ERC_WEST,1,0.01,
10,CN_ON,FRCC,1,0.01,
11,CN_ON,NENG_CT,1,0.01,
12,CN_ON,NENGREST,1,0.01,
13,CN_ON,NENG_ME,1,0.01,
14,CN_ON,MAP_WAUE,1,0.01,
15,CN_ON,MIS_INKY,1,0.01,
16,CN_ON,MIS_LMI,1,0.01,
17,CN_ON,MIS_MNWI,1,0.01,
18,CN_ON,MIS_MO,1,0.01,
19,CN_ON,MIS_WUMS,1,0.01,
20,CN_ON,NY_Z_F,1,0.01,
21,CN_ON,NY_Z_GI,1,0.01,
22,CN_ON,NY_Z_J,1,0.01,
23,CN_ON,NY_Z_K,1,0.01,
24,CN_ON,NY_Z_AB,1,0.01,
25,CN_ON,PJM_West,1,0.01,
26,CN_ON,PJM_AP,1,0.01,
27,CN_ON,PJM_ATSI,1,0.01,
28,CN_ON,PJM_COMD,1,0.01,
29,CN_ON,PJM_Dom,1,0.01,
30,CN_ON,PJM_SMAC,1,0.01,
31,CN_ON,PJM_WMAC,1,0.01,
32,CN_ON,S_C_KY,1,0.01,
33,CN_ON,S_D_AMSO,1,0.01,
34,CN_ON,S_D_N_AR,1,0.01,
35,CN_ON,S_D_REST,1,0.01,
36,CN_ON,S_D_WOTA,1,0.01,
37,CN_ON,SPP_NEBR,1,0.01,
38,CN_ON,SPP_N,1,0.01,
39,CN_ON,SPP_SPS,1,0.01,
40,CN_ON,SPP_WEST,1,0.01,
41,CN_ON,WECC_AZ,1,0.01,
42,CN_ON,WECC_CO,1,0.01,
43,CN_ON,WECC_ID,1,0.01,
44,CN_ON,WECC_IID,1,0.01,
45,CN_ON,WEC_LADW,1,0.01,
46,CN_ON,WECC_NM,1,0.01,
47,CN_ON,WECC_NNV,1,0.01,
48,CN_ON,WECC_PNW,1,0.01,
49,CN_ON,WEC_SDGE,1,0.01,
50,CN_ON,WECC_SF,1,0.01,
51,CN_ON,WECC_SCE,1,0.01,
52,CN_ON,WECC_SNV,1,0.01,
53,CN_ON,WECC_UT,1,0.01,
54,CN_ON,CN_NL,1,0.01,
55,CN_ON,CN_MB,1,0.01,
56,CN_ON,CN_NB,1,0.01,
57,CN_ON,CN_NF,1,0.01,
58,CN_ON,CN_NS,1,0.01,
59,CN_ON,CN_PE,1,0.01,
60,CN_ON,CN_PQ,1,0.01,
61,CN_ON,CN_SK,1,0.01,
62,CN_ON,MIS_IL,1,0.01,
63,CN_ON,MIS_IA,1,0.01,
64,CN_ON,MIS_MIDA,1,0.01,
65,CN_ON,MIS_MAPP,1,0.01,
66,CN_ON,NY_Z_D,1,0.01,
67,CN_ON,PJM_PENE,1,0.01,
68,CN_ON,WECC_MT,1,0.01,
69,CN_ON,WECC_WY,1,0.01,
70,CN_ON,SPP_SE,1,0.01,
71,CN_ON,ERC_FRNT,1,0.01,
72,CN_ON,ERC_GWAY,1,0.01,
73,CN_ON,SPP_KIAM,1,0.01,
74,ERC_REST,NY_Z_CE,1,0.01,
75,ERC_REST,PJM_EMAC,1,0.01,
76,ERC_REST,S_C_TVA,1,0.01,
77,ERC_REST,S_SOU,1,0.01,
78,ERC_REST,S_VACA,1,0.01,
79,ERC_REST,WEC_CALN,1,0.01,
80,ERC_REST,CN_AB,1,0.01,
81,ERC_REST,CN_BC,1,0.01,
82,ERC_REST,ERC_WEST,5529,0.01,
83,ERC_REST,FRCC,1,0.01,
84,ERC_REST,NENG_CT,1,0.01,
85,ERC_REST,NENGREST,1,0.01,
86,ERC_REST,NENG_ME,1,0.01,
87,ERC_REST,MAP_WAUE,1,0.01,
88,ERC_REST,MIS_INKY,1,0.01,
89,ERC_REST,MIS_LMI,1,0.01,
90,ERC_REST,MIS_MNWI,1,0.01,
91,ERC_REST,MIS_MO,1,0.01,
92,ERC_REST,MIS_WUMS,1,0.01,
93,ERC_REST,NY_Z_F,1,0.01,
94,ERC_REST,NY_Z_GI,1,0.01,
95,ERC_REST,NY_Z_J,1,0.01,
96,ERC_REST,NY_Z_K,1,0.01,
97,ERC_REST,NY_Z_AB,1,0.01,
98,ERC_REST,PJM_West,1,0.01,
99,ERC_REST,PJM_AP,1,0.01,
